background size,chart color,description,Evidence codes,intersecting genes,intersection size,network.SUID,nodes.SUID,p-value,precision,query size,recall,source,term id,term name,term size
21031,,"""The directed movement of a protein to a specific location."" [GOC:bf]","""IPI""|""IC""|""NAS""|""HMP""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""", CCL5| ADAM9| ERC1| NEO1| RDX| ARHGAP1| PB2| EXOSC10| ARL1| SWAP70| Q8IZY5| ANXA4| ZFYVE16| IKZF1| IST1| ROR1| DUSP16| MARCKS| RPL36A| Q6UWI4| STX4| GGA3| STX5| ESRRB| UBE2U| DHCR7| P00523| AHNAK| Q8N9N7| GOSR2| Q8BL66| STX17| PHLPP1| CCDC85C| FHIP1B| NSMCE4A| UPF1| LMNB1| NUDT5| NF2| DUS4L| DDX21| EIF5| RP2| TTK| F11R| RASSF2| GOLGA2| MAP2K1| GOLGA5| EXOC4| DAAM1| PML| SLC25A5| MB21D2| Q96DU9| FRS2| XRCC3| CDK16| HNRNPA3| Q6PJG2| CTNNA2| EFNB2| EIF4G2| C6orf141| L3MBTL1| OSGIN1| PCDH7| PPP1R13L| TMEM230| CCDC136| HSP90AA1| ERBIN| SYT7|BRCA2| RABL2A| P16989| C2CD2L| P17844| CAST| RAP2C| PLEKHA7| PLEKHA6| CYP17A1| PAK6| P62879| CCT8| RPA1| AKAP5| SLC6A9| SLC6A8| CAPG| VPS13D| LPP| DBN1| SPRED1| CANX| ACSL4| NANS| RPLP0| GAB1| NFKBIE| NUP214| SLC30A6| STXBP6| GPKOW| FAM83D| DENND4C| FAM83H| ITPRID2| LSR| PPP1R37| FTSJ3| Rassf5| Mecom| KIRREL1| UNC5B| HYCC1| Q96SB4| TP53| RIN1| Q9Y2W1| LRP6| PDE6D| PEAK1| A8MVW0| VSIG10L| JUN| CAPZB| TOMM22| SLC19A1| MPZL1| KLC2| KRT18| ZHX1-C8orf76| Q96H12| A4D1S0| Q9NVI7| NUP107| ILF2| ILF3| Q6ZVX7| ABI1| nan| HEMGN| RANBP1| TMED8| KIAA1671| TOR1AIP2| NUDC| GNL3| FUS| Q53SF7| RAD51C| EPSTI1| Q8WY22| SPCS1| LDHA| DST| HBP1| ENO1| Q9H0X4| SRC| CXADR| PATJ| LGALS7| MORF4L1| HSPB8| NECTIN4| NECTIN3| MYL6B| SEC22B| ATP5F1B| DDX54| CIP2A| P11388| Q6ZN28| TMEM161A| HMGN5| SLC6A15| ESYT2| TBC1D10B| CLCN7| RALGDS| KLHL40| HMOX1| Q8NHW5| HCFC1| CCP110| O00567| Q8WUY1| ARHGAP21| Q14444| NIPSNAP2| GIPC1| SLC20A1| ARHGAP18| Calm2| Q9UKQ9| PLIN3| MLF1| TSGA10IP| EFR3B| USP6NL| ARPC1A| IGSF21| P46087| VPS45,208,70497,72001|71697|74797|72317|74197|71517|70835|75325|72867|74545|74277|74165|73373|71109|74019|72729|70731|71909|73829|71885|74823|73665|74427|75575|70913|71337|75157|73821|71313|72789|71745|72709|74921|74507|70531|70727|75637|72077|73329|74873|73467|75195|73687|72457|74573|71597|72621|71081|72489|71513|71341|73857|71709|75085|73175|75305|73553|70899|72261|75329|75609|73499|72377|73063|70567|70571|72105|71409|73361|71377|71037|70535|74935|73039|70525|70543|75095|72277|75351|74993|72153|73835|73643|74743|72977|75587|74161|70755|72493|72629|72721|73897|75183|74607|73811|73321|71929|71233|73975|75213|74515|73337|73893|72473|72381|70859|72839|73675|73401|73683|72939|73869|75463|71453|70715|71733|71261|71529|75321|70803|72313|75547|72141|71713|72225|71725|73503|70999|74569|72309|71373|71193|74137|73967|72981|73931|71149|75475|72533|75511|75011|75361|74701|70791|71789|73475|71661|74043|71761|74689|75485|75003|74079|70807|73309|75299|71385|74217|74093|75073|73159|71981|75417|72393|73149|75111|70607|70559|74831|71693|75149|71401|75655|75583|73259|75445|73921|72373|70957|72713|72545|74213|72801|71989|70679|71677|75139|74675|72569|75467|75409|73463|75295|74323|73047|72233|74619|71813|75177|74861|70723|70691|72337|72201|72057|72943|75069|71849,9.73E-21,0.18588025,1119,0.108108108,Gene Ontology Biological Process,GO:0045184,establishment of protein localization,1924
11019,,fallopian tube; glandular cells[≥Low],"""Approved""|""Enhanced""|""Supported""", ELMOD3| NDRG1| NDRG2| ZC3H15| ZC3HAV1| ATP2B4| ATP2B1| EIF2S3| MINK1| ETFA| CEP104| EPS15L1| SRGAP2| RAPGEF6| ERC1| NCK1| Q01844| BMPR2| CGN| ARHGAP1| MRPS9| TOP1| Q8TAE6| DSG2| PPME1| AAK1| NAA11| PB2| S100P| EMD| TXNL4A| TK1| EFTUD2| NEK6| ZNF189| DHRS7| GSPT1| IVL| EXOSC10| GGCT| SLC16A1| Q8IZY5| PHLDB2| ANXA1| TTC7A| ANXA4| ZFYVE16| IKZF1| GALNT12| STX7| ZYX| PKP3| DUSP16| PHLDB1| DNAJC1| DSC3| EFHD2| DNAJC7| N4BP1| GATAD2A| MARCKS| STX4| STX3| STX6| STX5| DNAJB1| YKT6| ESRRB| ZNF185| ABLIM3| DHCR7| MVB12A| STX10| GOSR1| Q8N9N7| GOSR2| Q8BL66| MDH2| STX18| YTHDF2| STX12| CEP70| IFNGR1| O75474| PHLPP1| NCL| ATL1| CCDC85A| POLR1A| CCDC85C| NUMBL| MMTAG2| FHIP1B| JPH1| ADCY9| CCDC47| NSMCE4A| Q9HC56| UPF1| ATIC| CSRP1| ARFGAP1| NF2| CPD| SLC38A1| ARF1| SEC61B| PDXDC1| TACC1| NEBL| Q8TD55| Q6UWP8| FASN| HNRNPA1| IRAK1| RP2| TTK| SH3GLB1| POP1| RASSF2| NHS| GOLGA2| CCT8L2| GOLGA5| SAXO5| EXOC4| SLC23A2| EXOC5| DAAM1| PML| SND1| SLC25A5| GSK3B| AKT1| YWHAE| TUB| YWHAQ| FEZ1| ARAF| YWHAH| RBM14| CTNND1| UACA| CDK16| XRCC6| HMGA1| Q9H293| HNRNPA3| PAICS| SURF4| KIF5B| EEF1AKMT2| APP| ATG2B| STOM| ABCF3| CTNNA1| RFXANK| SORBS1| MAP4K4| SORBS3| MAP4K3| PPM1E| CHMP2B| ADD1| HSP90AB1| EZR| ADD3| EIF4G2| EFNB3| C1orf131| USE1| PPL| MAPRE1| CFAP184| APLP2| GPR31| LRRC7| TAX1BP3| Q9NW68| SRSF7| SRSF6| ARL13B| OSGIN1| LRRFIP1| RAD23A| PLEC| Q96CW1| ABCD3| PCDH7| MAPKAPK2| MAPKAPK3| MEAK7| P35240| AFDN| GRK6| PPP1R13B| MYO1B| CCSER2| SSH3| SYT7| ZRANB2| HSD17B4| OST4|BRCA2| P16989| C2CD2L| NOTCH3| STK38| BCL2L13| NOTCH2| QDPR| GNAS| ZNF510| PTN| EIF4A1| STEAP3| Q14103| MPRIP| CHCHD3| PIAS4| PPP1R15A| ALDOA| CAST| HMG20B| ARHGEF16| NEURL4| MAGEA9| PTPRJ| ARHGEF12| RAP2C| MRTFB| DKC1| NUMA1| TMX4| SEPTIN2| CAPS| LARP4| SEPTIN9| PLEKHA7| SEPTIN7| PLEKHA6| PLEKHA5| PCNA| PAK4| CYP17A1| CCT7| CCT8| RPA2| PRAM1| NHERF2| SNX32| AKAP5| LPAR1| SLC6A8| SLC6A6| CAPG| RSL1D1| CSTF1| IL24| TMEM51| LPP| DBN1| KCNN4| PXN| CTTN| SPRED1| PTRH2| SHROOM3| VAMP4| ACSL3| VAMP7| DBNL| PPP1R18| RPLP0| RHBDD2| Q9BZE4| GAB1| TMCO1| SLC30A1| C1orf198| NUP214| EBNA1BP2| SLC30A6| STXBP6| GPKOW| DENND4C| STAT2| ANLN| ANKRD13C| SNX6| UBAP2| SNX2| STXBP3| SNX1| P83111| COPG2| SNX3| LSR| FSCN1| YES1| TMEM87A| EPB41L3| EPB41L2| EPB41L5| PPP1R37| U2AF2| FTSJ1| FTSJ3| O60506| SPECC1| SAR1A| Rassf5| BAIAP2L1| JPT1| CCNY| EHBP1L1| ITGA6| CBLL1| AOPEP| BLZF1| O14683| DEK| Cbll1| CAPZA1| TP53| CRKL| P38159| CISD2| Q9Y2W1| SCD| VTI1B| HM13| FLVCR1| KIDINS220| Q7Z406| DAB2IP| PALM3| TMEM9| MARK1| MARK2| CD276| BCAS3| PDE6D| P07205| CHAF1B| PEAK1| A0A3B6UEL2| KRT38| A8MVW0| VSIG10L| WDR6| USP43| RAI14| S100A7| HDLBP| SOS2| CAPZB| PHACTR4| RABEP1| NUMB| GPRASP2| USP33|BARD1| EGLN1| EGLN3| SLC1A5| IQGAP1| CDK8| MTM1| CYB5B| SLC1A3| KLC2| KRT18| RUVBL1| EHBP1| BAG3| BAG4| SUPT16H| EIF4B| Q9UGV2| EIF4H| MT-CO3| LLGL1| FAM91A1| Q96H12| SCARB1| inlA| IRS4| A4D1S0| SH3GL1| Q9NVI7| VKORC1L1| ELFN2| H2BC21| ILF2| USP8| BZW1| Q6ZVX7| KIAA1217| ABI1| USO1| P52272| NR2F6| SRPRB| SRPRA| FUNDC2| Q00610| SPRR3| HEMGN| SHOC2| RAB11B| TMEM165| KTN1| ELP1| ANKRD50| ANO10|CDH1| LARP1| PSMC3IP| RYBP| TMED8| NCAPH2| KIAA1671| CDCA3| COPS7B| SH3RF1| CSNK1G3| SRRM2| PLSCR1| PLSCR3| P30050| TMTC2| ING5| GNL3| FUS| UBXN4| RAD51C| SERPINB5| Hap1| IGBP1| RPN2| CRYBG1| TNKS1BP1| TRAPPC8| Q8WY22| GJC1| SPCS1| BRAF| TENM3| SNAP23| EHD4| ADH6| EHD1| Q83A11| ADAM17| DCUN1D3| LRATD2| HBP1| S100A11| SMC3| ZDHHC8| ARGLU1| RANGAP1| CD2AP| KRT78| CXADR| AXIN2| PATJ| Q7L2E3| SENP1| LGALS7| SPANXA1| MORF4L2| LRIF1| NECTIN2| NECTIN4| NECTIN3| DLGAP4| P62906| MYL6B| Q5JTH9| ARFIP2| CYP51A1| TPD52L2| PARVA| Q96LC7| HSF2BP| RPS29| BSG| MTA3| MTA2| KDF1| P68032| SEC22B| SH3PXD2B| RAD51| ATP5F1B| PUF60| CCNB2| SLC33A1| TP53BP1| CDHR4| UBIAD1| AKAP12| DDX50| DDX54| TRAF1| POLH| CIP2A| Q6ZN28| MOCS2| STIM1| Q13151| TMEM161A| RFT1| MYH9| HMGN5| SLC6A15| TMEM109| SPAG5| EPPK1| ESYT2| TBC1D10A| TBC1D10B| CLCN7| DDRGK1| RAB21| Prdm16| TMEM115| Q14498| RALGDS| SYCP3| BUD13| RAB1A| ARHGAP32| TAGLN2| LMAN1| HMOX2| DLG5| PPP4R1L| Coro1c| HMOX1| MAVS| G5E9H3| ZDHHC18| GOLIM4| EPS8L2| EPS8L1| O00567| VCPIP1| Q7Z6K3| EEF1G| Q9BQ29| Q5T2N8| Q8WUY1| SYAP1| UNC45A| LMO7| RPL36AL| XPR1| ZMYND8| TYMS| ARHGAP21| RAB6A| SYNJ2| Q14444| PALB2| P0DTC3| SIPA1L3| PDLIM5| SYNJ1| NIPSNAP2| PDLIM1| GIPC1| SLC20A1| ARHGAP18| SCEL| EMC8| RPL10| MACF1| CEMIP2| MPP7| SVIL| VCL| TJP2| EPB41| CNKSR1| ARVCF| SYTL4| EPHA3| FAF2| Q86SX3| PLIN3| GIGYF2| XPO1| SCRIB| HRAS| ACTN1| PGRMC2| SCAMP1| SCAMP3| HNRNPK| HNRNPF| WIPF2| MLF1| FNBP1L| EFR3A| EIF2A| GPRC5A| RRP1B| TWF2| RALGPS2| EFR3B| USP6NL| SLC5A3| TRMT1| ARPC1B| ARPC1A| SLC39A14| Q8N201| FXR2| IGSF21| PPFIBP1| Q96II5| P46087| AGGF1| EIF3E| EPS15| CANT1| WDR20| CDC45| TULP3| VASN| O00159| PROM2| BEX1| VPS35| LEMD3| MAGI3| AHSA1| TNS3| PARD3| KAT5| MRE11,645,70497,73301|71649|74761|73787|74697|72461|72425|72657|73735|71197|71769|73409|73775|71437|74797|73387|75559|72405|73745|71517|75239|75621|75047|71809|74595|74293|70683|70835|74479|72697|71625|74611|75571|74653|72859|72781|74315|73167|75325|71765|71273|74277|71481|74717|73573|74165|73373|71109|73379|72497|74257|73471|70731|72409|72089|72097|74319|70579|74945|72517|71909|74823|71945|72017|74427|73179|71569|75575|74235|74201|71337|72701|72589|71577|71313|72789|71745|72947|71461|75381|72585|71115|72501|72593|74921|70583|71901|70917|71119|74507|73221|74193|70531|71185|73237|72329|70727|71205|75637|74539|75617|72753|74873|71997|74749|72169|72613|71241|72919|74269|73885|74387|74565|75519|74709|72457|74573|73729|75279|72621|74951|71081|70719|71513|70823|71341|71225|70967|73857|71709|73531|75085|74599|72985|73115|71905|71289|70929|71793|72453|75365|73395|71449|72261|70963|71089|75389|75329|74667|72193|73853|70603|72737|72205|72069|73121|72129|70795|74725|72741|72895|71349|70799|73483|73971|70663|74835|72305|73063|72149|72269|72177|73271|73623|70551|72421|71541|73587|74679|71689|75397|75555|72033|72105|74633|70527|74083|75425|71845|71409|75671|73035|72353|71817|71501|72577|73717|72509|73217|73349|73039|70687|71781|71015|70525|75095|72277|74739|74907|72833|71801|72717|71253|74971|70909|75433|71797|75373|74521|71293|71003|70953|74205|74993|70547|74027|70615|70667|74331|73841|72153|73807|75453|71045|71505|74049|73961|75253|74865|73835|73425|73643|73991|70787|74793|74743|72349|74161|70827|74067|72855|70751|72493|72481|72721|72605|73897|73353|70945|72637|72875|74607|73811|74031|73691|70851|73321|71833|73085|72049|72931|72879|74177|74769|75213|72133|75119|74515|72273|72245|74035|73893|74925|72473|72381|70859|73675|74963|74365|72429|70891|74449|73317|71525|74413|75355|73433|72361|72939|73191|72887|72321|74223|72197|72093|73869|75247|72301|75463|75625|71565|72325|71453|73243|74457|71389|73563|71665|74169|74119|72843|72209|75401|73137|74721|70803|73441|75191|72529|75547|72189|72541|72573|71249|72213|75007|73479|73549|72883|72951|73013|71581|72689|71713|75333|73901|72225|71861|70875|71725|73503|72677|74409|74773|75343|74803|71265|74569|73615|71101|74239|71011|72369|70903|71589|70695|74503|73577|72899|71277|71737|72609|74137|73967|73619|74897|73631|70871|75259|73163|71969|73679|71157|71613|72829|73931|73661|74157|72653|71149|73709|75475|71309|74395|71085|75511|73815|73187|75361|73369|74701|74377|75165|73697|71585|71465|72037|75243|74111|71789|75441|71301|72625|72669|71071|71317|71145|72971|74623|74843|71657|71661|70759|74043|71609|72229|73027|72825|75221|71853|71469|75531|73527|71131|75485|75003|71921|70807|72013|70949|74265|75077|74529|74581|71701|75299|71941|71385|71777|73865|72081|74469|71685|73429|71741|74351|72397|73639|75073|73195|70739|71485|74475|73603|74297|70887|72393|70925|73149|75235|72851|75111|70775|70811|71053|73051|74831|71693|71653|75641|75149|75317|73133|72365|71353|74511|75393|70707|72817|72903|73313|70783|74347|75471|71401|74683|70671|75655|73495|71925|71961|70847|74645|72181|72963|71973|75583|70905|70639|73259|73921|72911|72549|75421|72373|71269|73983|70957|72713|72785|70971|75021|72545|71497|74213|72801|72073|71181|70643|71441|75231|71989|70779|75059|71865|74443|74071|72923|72915|73979|70767|72433|71677|73779|72009|71169|71717|74885|73567|75467|74615|72021|74183|72973|75501|75409|72521|74997|73541|73917|72041|72809|72891|73463|71173|73183|75295|70627|71933|73251|74929|74663|74323|73721|73047|72233|74619|73405|71161|75267|74819|72253|72345|73043|73333|74435|74285|70635|74289|71545|72117|71557|72137|74861|73291|70599|73705|74343|75017|73019|72645|72065|73059|75491|73067|70723|74335|72237|74499|74731|75579|73141|72341|72337|72201|72045|70655|71881|72057|72109|75613|70743|72943|71285|72385|75069|70675|73515|73799|73881|71257|70647|72005|73345|75135|74423|74483|71049|71533|73103|74735|74713|73005|70991|74967,9.32E-21,0.67539267,955,0.111668975,Human Protein Atlas,HPA:0210051,fallopian tube; glandular cells[≥Low],5776
21031,,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]","""IC""|""NAS""|""IGI""|""TAS""|""HMP""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""", CCL5| ATP2B4| ATP2B1| MINK1| ADAM9| NEO1| RDX| ARHGAP1| RNF185| PB2| PDS5B| EEF2| ARL1| TMOD3| Q8IZY5| SLC4A2| ANXA4| IKZF1| IST1| STX7| SARG| DUSP16| MARCKS| RPL36A| STX4| ESRRB| Q86YQ8| DHCR7| GOSR2| STX17| O75474| PHLPP1| LAD1| UPF1| ATIC| ARFGAP2| LMNB1| DUS4L| INAVA| EIF5| RP2| SH3GLB1| MAP2K1| SAXO5| EXOC4| DAAM1| PML| SND1| SLC25A5| NGDN| MB21D2| FRS2| XRCC3| CDK16| HNRNPAB| HNRNPA3| KIF5B| APP| Q6PJG2| SORBS1| CTNNA3| SORBS3| MAP4K3| CHMP2B| Q9BT30| USE1| SRSF6| L3MBTL1| RAD23A| EPN2| ABCD3| PCDH7| PPP1R13L| TMEM230| HSP90AA1| PPP1R13B| GCN1| SPG21| SYT7| P16989| TRIM52| PTN| STEAP3| MPRIP| CHCHD3| CAST| ARHGEF16| NEURL4| MAGEA9| TRIM29| TMX4| PLEKHA1| PLEKHA7| PLEKHA6| PAK4| FGFR1| P62879| LNPEP| STK24| CRYL1| CCT8| RPA2| SNX32| SLC6A9| VPS13D| CD46| LPP| DBN1| KCNN4| SPRED1| GAPDH| NANS| RABL3| ZHX1| SLC30A6| GPKOW| FAM83H| ANKRD13C| SNX9| ITPRID2| LSR| FSCN1| FTSJ3| O60506| GORASP2| UNC5B| Q96SB4| CISD2| Q9Y2W1| BCAS3| PDE6D| KRT38| VSIG10L| PHACTR4| NUMB| USP33| SLC19A1| MPZL1| EGLN1| KLC2| PRELID2| MT-CO3| Q86TE4| ILF2| ILF3| nan| SLK| RANBP1| TMEM165| TMED8| FUS| RAD51C| SERPINB5| EPSTI1| ANKRD26| Q8WY22| GJC1| SPCS1| LDHA| DST| EHD1| Q9H0X4| PATJ| Q7L2E3| LGALS7| MORF4L1| NECTIN4| NECTIN3| P68032| SEC22B| SLC33A1| AKAP12| DDX54| POLH| CIP2A| Q6ZN28| DPPA3| HMGN5| TBC1D10A| TBC1D10B| OSBPL8| KLHL40| PPP4R1L| EPS8L2| Q5T2N8| CCND1| JCAD| TYMS| ARHGAP21| SYNJ2| NIPSNAP1| NIPSNAP2| GIPC1| SLC20A1| ARHGAP18| NDUFA13| MACF1| CEMIP2| PLIN3| RPL24| TWF2| EFR3B| USP6NL| FRAT1| ARPC1A| PPFIBP1| P46087| EIF3F| VPS45| Q9P227| BCAP31| CRELD2| VPS35| KAT7| SOX2,215,70497,72001|72461|72425|73735|71697|72317|74197|71517|71381|70835|70623|74941|72867|74889|74277|72935|74165|71109|74019|72497|74253|70731|71909|73829|74823|75575|72757|71337|72789|72709|72593|74921|73203|75637|74539|74097|72077|73467|74641|73687|72457|73729|72489|70823|71341|73857|71709|73531|75085|74753|73175|73553|70899|72261|75541|75329|73853|72737|75609|74725|74461|72895|71349|73483|75413|72177|75555|70571|70527|72601|71845|71409|73361|71377|70535|73717|74911|72185|73039|75095|70563|70909|71797|74521|71293|74993|74027|70615|70667|74491|71505|73093|73835|73643|74793|73953|75587|72797|74059|70651|74161|70827|70751|72629|75183|72565|74607|73811|74031|73321|75339|73975|71329|71077|72473|70859|73401|72429|73297|73683|72939|73191|75463|75625|71617|71261|75321|72529|75547|72689|71713|70875|73503|73615|74239|72369|71373|71193|71589|74137|70703|71157|75369|75511|75011|70791|72993|73475|72625|71661|75003|70807|72013|73309|72249|75299|71941|71385|74217|74093|73429|71981|73149|75235|75111|70607|74831|71693|75471|71401|71961|72963|75583|70639|73259|73921|70747|70957|71497|74213|72793|70679|70767|74885|75501|70883|73749|72891|73463|73183|74247|74323|73047|72233|74619|71425|74819|72253|74861|73263|73141|72337|72201|72955|72057|71285|75069|71321|71849|74145|72871|74039|71049|70933|70659,9.16E-21,0.192135836,1119,0.10654113,Gene Ontology Biological Process,GO:0032879,regulation of localization,2018
